Year,Economic activity,Gender,Economically active population,Monthly average wage,Paid employment workers,Sector GDP,Bachelors,Diploma,Master,Doctorate,Pre-University Diploma
2011,"Agriculture, forestry and fishing",F,46,2765,46,590.0,0.0,0.0,0.0,0.0,0.0
2011,Mining and quarrying,F,2487,18237,2441,359227.0,0.0,0.0,0.0,0.0,0.0
2011,Manufacturing,F,600,10217,600,57789.0,0.0,0.0,0.0,0.0,0.0
2011,"Electricity, gas, steam and air conditioning supply",F,390,13807,390,795.0,0.0,0.0,0.0,0.0,0.0
2011,"Water supply; sewerage, waste management and remediation activities",F,0,0,0,795.0,0.0,0.0,0.0,0.0,0.0
2011,Construction,F,2851,10745,2836,28515.0,0.0,0.0,0.0,0.0,0.0
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,5407,7738,5121,32184.0,0.0,0.0,0.0,0.0,0.0
2011,Transportation and storage,F,3956,8716,3910,14043.0,0.0,0.0,0.0,0.0,0.0
2011,Accommodation and food service activities,F,2564,6602,2548,3926.0,0.0,0.0,0.0,0.0,0.0
2011,Information and communication,F,1873,13540,1873,7370.0,0.0,0.0,0.0,0.0,0.0
2011,Financial and insurance activities,F,2754,13516,2689,33993.0,0.0,0.0,0.0,0.0,0.0
2011,Real estate activities,F,432,12208,416,23564.0,0.0,0.0,0.0,0.0,0.0
2011,"Professional, scientific and technical activities",F,1367,10562,1284,6404.0,78.0,0.0,0.0,0.0,0.0
2011,Administrative and support service activities,F,2540,7798,2444,6404.0,166.0,0.0,20.0,0.0,0.0
2011,Public administration and defence; compulsory social security,F,13745,14417,13648,26580.0,113.0,0.0,0.0,0.0,0.0
2011,Education,F,16607,12958,16338,6791.0,42.0,17.0,6.0,0.0,0.0
2011,Human health and social work activities,F,10562,13176,10530,6209.0,18.0,0.0,0.0,0.0,0.0
2011,"Arts, entertainment and recreation",F,758,13657,742,2459.5,392.0,0.0,0.0,0.0,0.0
2011,Other service activities,F,316,10745,316,2459.5,0.0,0.0,0.0,0.0,0.0
2011,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,83792,2409,83792,2012.0,0.0,0.0,0.0,0.0,0.0
2011,"Agriculture, forestry and fishing",M,17241,3153,17047,590.0,0.0,0.0,0.0,0.0,0.0
2011,Mining and quarrying,M,79422,15110,79367,359227.0,0.0,0.0,0.0,0.0,0.0
2011,Manufacturing,M,100404,6537,99841,57789.0,0.0,0.0,0.0,0.0,0.0
2011,"Electricity, gas, steam and air conditioning supply",M,5041,18975,5026,795.0,0.0,0.0,0.0,0.0,0.0
2011,"Water supply; sewerage, waste management and remediation activities",M,1184,11529,1138,795.0,0.0,0.0,0.0,0.0,0.0
2011,Construction,M,494780,4659,492783,28515.0,0.0,0.0,0.0,0.0,0.0
2011,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,136581,5329,134581,32184.0,0.0,0.0,0.0,0.0,0.0
2011,Transportation and storage,M,29003,7389,28509,14043.0,0.0,0.0,0.0,0.0,0.0
2011,Accommodation and food service activities,M,27805,4669,27788,3926.0,0.0,0.0,0.0,0.0,0.0
2011,Information and communication,M,8051,16648,8051,7370.0,0.0,0.0,0.0,0.0,0.0
2011,Financial and insurance activities,M,7893,17882,7845,33993.0,0.0,0.0,0.0,0.0,0.0
2011,Real estate activities,M,8656,10682,8562,23564.0,0.0,0.0,0.0,0.0,0.0
2011,"Professional, scientific and technical activities",M,22754,7928,22447,6404.0,66.0,0.0,0.0,0.0,0.0
2011,Administrative and support service activities,M,37878,6640,37629,6404.0,65.0,0.0,16.0,0.0,0.0
2011,Public administration and defence; compulsory social security,M,62763,16386,62606,26580.0,39.0,0.0,0.0,0.0,0.0
2011,Education,M,10640,15539,10594,6791.0,13.0,11.0,1.0,0.0,0.0
2011,Human health and social work activities,M,10625,16536,10547,6209.0,0.0,0.0,0.0,0.0,0.0
2011,"Arts, entertainment and recreation",M,3899,14089,3883,2459.5,38.0,0.0,0.0,0.0,0.0
2011,Other service activities,M,4018,6129,4003,2459.5,0.0,0.0,0.0,0.0,0.0
2011,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,47815,2403,47815,2012.0,0.0,0.0,0.0,0.0,0.0
2012,"Agriculture, forestry and fishing",F,55,2955,55,641.0,0.0,0.0,0.0,0.0,0.0
2012,Mining and quarrying,F,3102,23838,3102,394697.0,0.0,0.0,0.0,0.0,0.0
2012,Manufacturing,F,691,12585,659,71571.0,0.0,0.0,0.0,0.0,0.0
2012,"Electricity, gas, steam and air conditioning supply",F,479,14824,479,1215.0,0.0,0.0,0.0,0.0,0.0
2012,"Water supply; sewerage, waste management and remediation activities",F,38,16278,38,1215.0,0.0,0.0,0.0,0.0,0.0
2012,Construction,F,2930,11990,2911,30947.0,0.0,0.0,0.0,0.0,0.0
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,5523,7752,5239,35757.0,0.0,0.0,0.0,0.0,0.0
2012,Transportation and storage,F,5338,14968,5338,14365.0,0.0,0.0,0.0,0.0,0.0
2012,Accommodation and food service activities,F,2990,8597,2990,4571.0,0.0,0.0,0.0,0.0,0.0
2012,Information and communication,F,2783,17638,2783,7637.0,0.0,0.0,4.0,0.0,0.0
2012,Financial and insurance activities,F,3209,18049,3178,36615.0,185.0,0.0,8.0,0.0,0.0
2012,Real estate activities,F,369,16904,350,24535.0,0.0,0.0,0.0,0.0,0.0
2012,"Professional, scientific and technical activities",F,1583,11752,1501,7153.0,101.0,0.0,0.0,0.0,0.0
2012,Administrative and support service activities,F,2390,11556,2298,7153.0,0.0,0.0,0.0,0.0,0.0
2012,Public administration and defence; compulsory social security,F,13805,19864,13785,32152.0,15.0,0.0,0.0,0.0,0.0
2012,Education,F,18515,17268,18193,7988.0,132.0,14.0,12.0,0.0,0.0
2012,Human health and social work activities,F,11796,17131,11649,7531.0,14.0,0.0,0.0,9.0,0.0
2012,"Arts, entertainment and recreation",F,752,19364,752,2963.5,338.0,0.0,0.0,0.0,0.0
2012,Other service activities,F,680,8793,680,2963.5,0.0,0.0,0.0,0.0,0.0
2012,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,90361,2425,90361,2321.0,0.0,0.0,0.0,0.0,0.0
2012,"Agriculture, forestry and fishing",M,18107,4411,17959,641.0,0.0,0.0,0.0,0.0,0.0
2012,Mining and quarrying,M,80009,18431,79963,394697.0,0.0,0.0,0.0,0.0,0.0
2012,Manufacturing,M,102115,6536,101852,71571.0,0.0,0.0,0.0,0.0,0.0
2012,"Electricity, gas, steam and air conditioning supply",M,7186,18666,7186,1215.0,0.0,0.0,0.0,0.0,0.0
2012,"Water supply; sewerage, waste management and remediation activities",M,1258,13194,1233,1215.0,0.0,0.0,0.0,0.0,0.0
2012,Construction,M,496334,3879,494056,30947.0,0.0,0.0,0.0,0.0,0.0
2012,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,163836,6451,161783,35757.0,0.0,0.0,0.0,0.0,0.0
2012,Transportation and storage,M,32937,11412,32394,14365.0,0.0,0.0,0.0,0.0,0.0
2012,Accommodation and food service activities,M,29215,6025,29094,4571.0,0.0,0.0,0.0,0.0,0.0
2012,Information and communication,M,8675,18749,8634,7637.0,0.0,0.0,1.0,0.0,0.0
2012,Financial and insurance activities,M,8249,20239,8099,36615.0,64.0,0.0,8.0,0.0,0.0
2012,Real estate activities,M,8965,13675,8743,24535.0,0.0,0.0,0.0,0.0,0.0
2012,"Professional, scientific and technical activities",M,23950,7477,23469,7153.0,89.0,0.0,1.0,0.0,0.0
2012,Administrative and support service activities,M,39057,5367,38936,7153.0,0.0,0.0,0.0,0.0,0.0
2012,Public administration and defence; compulsory social security,M,67735,23597,67634,32152.0,14.0,0.0,0.0,0.0,0.0
2012,Education,M,11894,17438,11894,7988.0,24.0,5.0,2.0,0.0,0.0
2012,Human health and social work activities,M,11714,16978,11644,7531.0,0.0,0.0,0.0,0.0,0.0
2012,"Arts, entertainment and recreation",M,7012,12131,6994,2963.5,41.0,0.0,0.0,0.0,0.0
2012,Other service activities,M,4333,5934,4295,2963.5,0.0,0.0,0.0,0.0,0.0
2012,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,49543,2233,49543,2321.0,0.0,0.0,0.0,0.0,0.0
2013,"Agriculture, forestry and fishing",F,0,0,0,695.0,0.0,0.0,0.0,0.0,0.0
2013,Mining and quarrying,F,3231,23787,3231,403031.0,0.0,0.0,0.0,0.0,0.0
2013,Manufacturing,F,992,14515,935,73820.0,0.0,0.0,0.0,0.0,0.0
2013,"Electricity, gas, steam and air conditioning supply",F,706,18329,706,1497.0,0.0,0.0,0.0,0.0,0.0
2013,"Water supply; sewerage, waste management and remediation activities",F,187,15937,187,1497.0,0.0,0.0,0.0,0.0,0.0
2013,Construction,F,3338,16106,3308,39305.0,0.0,0.0,0.0,0.0,0.0
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,7106,9650,6826,42570.0,0.0,0.0,0.0,0.0,0.0
2013,Transportation and storage,F,6267,15162,6251,14817.0,0.0,0.0,0.0,0.0,0.0
2013,Accommodation and food service activities,F,3695,9270,3695,5261.0,0.0,0.0,0.0,0.0,0.0
2013,Information and communication,F,3167,17974,3167,8136.0,0.0,0.0,2.0,0.0,0.0
2013,Financial and insurance activities,F,3780,18846,3705,38741.0,125.0,0.0,7.0,0.0,0.0
2013,Real estate activities,F,525,17761,502,28594.0,0.0,0.0,0.0,0.0,0.0
2013,"Professional, scientific and technical activities",F,1787,14632,1772,8125.5,93.0,0.0,3.0,0.0,0.0
2013,Administrative and support service activities,F,3984,8889,3894,8125.5,0.0,0.0,0.0,0.0,0.0
2013,Public administration and defence; compulsory social security,F,15036,20697,15036,37243.0,0.0,0.0,0.0,0.0,0.0
2013,Education,F,26267,19840,26042,9426.0,271.0,102.0,3.0,0.0,0.0
2013,Human health and social work activities,F,14906,17695,14876,8669.0,0.0,0.0,0.0,1.0,0.0
2013,"Arts, entertainment and recreation",F,1286,19199,1286,3458.0,0.0,0.0,0.0,0.0,0.0
2013,Other service activities,F,1105,11385,1105,3458.0,0.0,0.0,0.0,0.0,0.0
2013,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,95631,2589,95631,2720.0,0.0,0.0,0.0,0.0,0.0
2013,"Agriculture, forestry and fishing",M,21207,5020,21076,695.0,0.0,0.0,0.0,0.0,0.0
2013,Mining and quarrying,M,92177,21789,92114,403031.0,0.0,0.0,0.0,0.0,0.0
2013,Manufacturing,M,118460,7479,118163,73820.0,0.0,0.0,0.0,0.0,0.0
2013,"Electricity, gas, steam and air conditioning supply",M,8056,20550,8056,1497.0,0.0,0.0,0.0,0.0,0.0
2013,"Water supply; sewerage, waste management and remediation activities",M,2631,14891,2631,1497.0,0.0,0.0,0.0,0.0,0.0
2013,Construction,M,565338,4693,562864,39305.0,0.0,0.0,1.0,0.0,0.0
2013,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,186978,7577,184765,42570.0,0.0,0.0,0.0,0.0,0.0
2013,Transportation and storage,M,38671,11912,38123,14817.0,0.0,0.0,0.0,0.0,0.0
2013,Accommodation and food service activities,M,35213,8536,35135,5261.0,0.0,0.0,0.0,0.0,0.0
2013,Information and communication,M,9380,20909,9380,8136.0,0.0,0.0,0.0,0.0,0.0
2013,Financial and insurance activities,M,8695,22212,8575,38741.0,27.0,0.0,0.0,0.0,0.0
2013,Real estate activities,M,9910,15044,9666,28594.0,0.0,0.0,0.0,0.0,0.0
2013,"Professional, scientific and technical activities",M,26772,9524,26274,8125.5,21.0,0.0,0.0,0.0,0.0
2013,Administrative and support service activities,M,43952,7217,43895,8125.5,0.0,0.0,0.0,0.0,0.0
2013,Public administration and defence; compulsory social security,M,80736,25123,80656,37243.0,0.0,0.0,0.0,0.0,0.0
2013,Education,M,13423,19401,13423,9426.0,16.0,35.0,0.0,0.0,0.0
2013,Human health and social work activities,M,12937,17561,12832,8669.0,0.0,0.0,0.0,0.0,0.0
2013,"Arts, entertainment and recreation",M,7790,11357,7790,3458.0,0.0,0.0,0.0,0.0,0.0
2013,Other service activities,M,5877,7371,5826,3458.0,0.0,0.0,0.0,0.0,0.0
2013,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,56381,2458,56381,2720.0,0.0,0.0,0.0,0.0,0.0
2014,"Agriculture, forestry and fishing",F,0,0,0,880.0,0.0,0.0,0.0,0.0,0.0
2014,Mining and quarrying,F,5246,24829,5246,394190.0,0.0,0.0,0.0,0.0,0.0
2014,Manufacturing,F,1907,15381,1773,76133.0,0.0,0.0,0.0,0.0,0.0
2014,"Electricity, gas, steam and air conditioning supply",F,883,18467,883,1645.0,0.0,0.0,0.0,0.0,0.0
2014,"Water supply; sewerage, waste management and remediation activities",F,549,16950,549,1645.0,0.0,0.0,0.0,0.0,0.0
2014,Construction,F,4389,16414,4365,50031.0,0.0,0.0,0.0,0.0,0.0
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,7380,10629,7098,47746.0,0.0,0.0,0.0,0.0,0.0
2014,Transportation and storage,F,9172,16228,9122,15967.0,0.0,0.0,0.0,0.0,0.0
2014,Accommodation and food service activities,F,4002,12294,4002,6284.0,0.0,0.0,0.0,0.0,0.0
2014,Information and communication,F,3226,19173,3226,9124.0,0.0,0.0,0.0,0.0,0.0
2014,Financial and insurance activities,F,3887,20029,3838,44047.0,210.0,0.0,13.0,0.0,0.0
2014,Real estate activities,F,631,19407,603,34244.0,0.0,0.0,0.0,0.0,0.0
2014,"Professional, scientific and technical activities",F,1632,16883,1617,8654.5,116.0,0.0,0.0,0.0,0.0
2014,Administrative and support service activities,F,4094,12016,4000,8654.5,0.0,0.0,0.0,0.0,0.0
2014,Public administration and defence; compulsory social security,F,15592,21323,15592,40817.0,64.0,0.0,4.0,0.0,0.0
2014,Education,F,26379,19808,26157,10327.0,94.0,92.0,9.0,0.0,0.0
2014,Human health and social work activities,F,14971,17864,14936,9813.0,23.0,0.0,6.0,7.0,0.0
2014,"Arts, entertainment and recreation",F,1336,21818,1336,3847.0,347.0,0.0,0.0,0.0,0.0
2014,Other service activities,F,1347,11151,1347,3847.0,0.0,0.0,0.0,0.0,0.0
2014,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,F,97202,2807,97202,3225.0,0.0,0.0,0.0,0.0,0.0
2014,"Agriculture, forestry and fishing",M,23123,5012,22980,880.0,0.0,0.0,0.0,0.0,0.0
2014,Mining and quarrying,M,94174,23326,94027,394190.0,0.0,0.0,0.0,0.0,0.0
2014,Manufacturing,M,132664,7925,132265,76133.0,0.0,0.0,0.0,0.0,0.0
2014,"Electricity, gas, steam and air conditioning supply",M,19648,19056,19635,1645.0,0.0,0.0,0.0,0.0,0.0
2014,"Water supply; sewerage, waste management and remediation activities",M,13147,11965,13147,1645.0,0.0,0.0,0.0,0.0,0.0
2014,Construction,M,631867,5877,629458,50031.0,0.0,0.0,0.0,0.0,0.0
2014,Wholesale and retail trade; repair of motor vehicles and motorcycles,M,190199,8328,187604,47746.0,0.0,0.0,0.0,0.0,0.0
2014,Transportation and storage,M,45684,12344,45020,15967.0,0.0,0.0,0.0,0.0,0.0
2014,Accommodation and food service activities,M,38377,8939,38296,6284.0,0.0,0.0,0.0,0.0,0.0
2014,Information and communication,M,9892,22356,9892,9124.0,0.0,0.0,4.0,0.0,0.0
2014,Financial and insurance activities,M,9085,23363,8959,44047.0,65.0,0.0,7.0,0.0,0.0
2014,Real estate activities,M,11119,14556,10875,34244.0,0.0,0.0,0.0,0.0,0.0
2014,"Professional, scientific and technical activities",M,26896,11367,26358,8654.5,76.0,0.0,0.0,0.0,0.0
2014,Administrative and support service activities,M,44784,7626,44772,8654.5,0.0,0.0,0.0,0.0,0.0
2014,Public administration and defence; compulsory social security,M,82455,25786,82335,40817.0,26.0,0.0,0.0,0.0,0.0
2014,Education,M,15234,20989,15234,10327.0,18.0,34.0,4.0,0.0,0.0
2014,Human health and social work activities,M,13284,19489,13209,9813.0,0.0,0.0,0.0,0.0,0.0
2014,"Arts, entertainment and recreation",M,12403,15187,12403,3847.0,19.0,0.0,0.0,0.0,0.0
2014,Other service activities,M,9465,8379,9384,3847.0,0.0,0.0,0.0,0.0,0.0
2014,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,M,56855,2630,56855,3225.0,0.0,0.0,0.0,0.0,0.0
2015,"Agriculture, forestry and fishing",F,0,0,0,950.0,0.0,0.0,0.0,0.0,0.0
2015,Mining and quarrying,F,7024,21613,7024,221041.0,0.0,0.0,0.0,0.0,0.0
2015,Manufacturing,F,2297,15323,2261,52489.0,0.0,0.0,0.0,0.0,0.0
2015,"Electricity, gas, steam and air conditioning supply",F,939,20219,939,1975.0,0.0,0.0,0.0,0.0,0.0
2015,"Water supply; sewerage, waste management and remediation activities",F,790,17525,790,1975.0,0.0,0.0,0.0,0.0,0.0
2015,Construction,F,4547,17032,4514,60693.0,0.0,0.0,0.0,0.0,0.0
2015,Wholesale and retail trade; repair of motor vehicles and motorcycles,F,25734,10380,25443,51465.0,0.0,0.0,0.0,0.0,0.0
2015,Transportation and storage,F,10783,16260,10783,21657.0,0.0,0.0,0.0,0.0,0.0
2015,Accommodation and food service activities,F,13180,12476,13180,6231.0,0.0,0.0,0.0,0.0,0.0
2015,Information and communication,F,3218,19880,3159,10109.0,0.0,0.0,8.0,0.0,0.0
2015,Financial and insurance activities,F,6227,20629,6157,45320.0,187.0,0.0,22.0,0.0,0.0
2015,Real estate activities,F,975,19945,942,38762.0,0.0,0.0,0.0,0.0,0.0
2015,"Professional, scientific and technical activities",F,1877,16973,1862,9765.5,129.0,0.0,0.0,0.0,0.0
2015,Administrative and support service activities,F,4177,12244,4085,9765.5,0.0,0.0,0.0,0.0,0.0
