Year,Economic Sector,Degree Type,Academic Degree,Male,Female
2020,Natural sciences,Master,Applied Statistics,2,4
2020,Education,Master,Arabic Language & Literature,1,4
2020,Natural sciences,Master,Environmental Sciences,1,7
2020,Natural sciences,Master,Material Sci and Technology,5,5
2020,Financial and insurance activities,Master,Accounting,4,12
2020,Financial and insurance activities,Master,Business Administration,8,21
2020,Financial and insurance activities,Master,Marketing,4,16
2020,Education,Master,"Curriculum,Instruc. & Assessm.",1,5
2020,Education,Master,Education Leadership,0,8
2020,Education,Master,Master of Special Education,0,1
2020,Education,Master,Special Education,3,6
2020,Engineering,Master,Civil Engineering,9,1
2020,Information and communication,Master,Computing,3,7
2020,Engineering,Master,Electrical Engineering,2,2
2020,Engineering,Master,Engineering Management,10,9
2020,Engineering,Master,Environmental Engineering,2,1
2020,Engineering,Master,Mechanical Engineering,6,0
2020,Architecture and urban planning,Master,Urban Planning and Design,0,2
2020,Human health and social work activities,Master,Biomedical Sciences,1,8
2020,Human health and social work activities,Master,Public Health,0,10
2020,Public administration and defence; compulsory social security,Master,Private Law,2,9
2020,Public administration and defence; compulsory social security,Master,Public Law,6,8
2020,Human health and social work activities,Master,Pharmacy,3,18
2020,Education,Master,Fiqh and Usul Al Fiqh,4,7
2020,Education,Master,Quranic Sciences and Exegesis,11,6
2020,Public administration and defence; compulsory social security,Master,Religions & Dialog of Civiliz.,1,0
2020,Business Administration,Master,Qatar Leadership Center / Executive Master McDonough School of Business,15,10
2020,Natural sciences,Doctorate,Biological & Environmental Sci,2,3
2020,Public administration and defence; compulsory social security,Doctorate,Gulf Studies,0,1
2020,Engineering,Doctorate,Civil Engineering,1,1
2020,Engineering,Doctorate,Electrical Engineering,1,0
2020,Engineering,Doctorate,Engineering Management,1,0
2020,Natural sciences,Doctorate,Material Sci and Engin,1,1
2020,Engineering,Doctorate,Mechanical Engineering,1,0
2021,Education,Pre-University Diploma,Community College,235,419
2021,Public administration and defence; compulsory social security,Pre-University Diploma,Ras Laffan Emergency & Safety College,0,0
2021,Transportation and storage,Pre-University Diploma,Qatar Aeronautical Academy,27,5
2021,Education,Pre-University Diploma,"University of Doha for Science and
Technology",102,39
2021,Education,Bachelors,B.A In Education,6,259
2021,"Arts, entertainment and recreation",Bachelors,B.A In Art & science,117,819
2021,Education,Bachelors,B.A In Sharia & Islamic Studies,5,66
2021,Engineering,Bachelors,B.Sc. In Engineering,29,128
2021,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics",127,427
2021,Public administration and defence; compulsory social security,Bachelors,B.Sc. In Law,78,192
2021,Human health and social work activities,Bachelors,B.Sc Health Sciences,0,14
2021,Human health and social work activities,Bachelors,B.Sc. Pharmacy,0,4
2021,Public administration and defence; compulsory social security,Bachelors,B.Sc.  Ras Laffan Emergency and Safety College,18,0
2021,Human health and social work activities,Bachelors,B.Sc.Medicine,3,13
2021,Financial and insurance activities,Bachelors,"B.Sc. In Admin, & Economics University of Doha for Science and Technology",7,10
2021,Human health and social work activities,Bachelors,B.Sc - Medical Radiography University of Doha for Science and Technology,1,2
2021,Public administration and defence; compulsory social security,Bachelors,"B.SC - of Arts in Public Administration
Community College",65,100
2021,Engineering,Bachelors,"Bachelor of Science in Electrical Engineering Technology
Community College",0,7
2021,Information and communication,Bachelors,Bachelor of Science in Information Technology - Cyber and Network Security Community College,5,17
2021,Education,Diploma,Primary Education,0,9
2021,Education,Diploma,Special Education,0,12
2021,Education,Diploma,Secondary Education,0,1
2021,Business Administration,Diploma,"Jossor Institute / Higher Diploma Bocconi
College",15,5
2021,Education,Master,"Curriculum,Instruc. & Assessm.",1,5
2021,Education,Master,Education Leadership,0,5
2021,Education,Master,Special Education,0,2
2021,Natural sciences,Master,Applied Statistics,0,0
2021,Education,Master,Arabic Language & Literature,0,3
2021,Public administration and defence; compulsory social security,Master,Defense studies,20,0
2021,Natural sciences,Master,Environmental Sciences,0,0
2021,Public administration and defence; compulsory social security,Master,Gulf Studies,1,3
2021,Natural sciences,Master,Material Sci and Technology,0,0
2021,Financial and insurance activities,Master,Accounting,0,2
2021,Financial and insurance activities,Master,Business Administration,1,1
2021,Financial and insurance activities,Master,Marketing,1,5
2021,Engineering,Master,Civil Engineering,0,0
2021,Information and communication,Master,Computing,,3
2021,Engineering,Master,Electrical Engineering,1,0
2021,Engineering,Master,Engineering Management,5,8
2021,Engineering,Master,Environmental Engineering,0,0
2021,Engineering,Master,Mechanical Engineering,0,0
2021,Architecture and urban planning,Master,Urban Planning and Design,0,1
2021,Human health and social work activities,Master,Biomedical Sciences,0,5
2021,Human health and social work activities,Master,Genetic Counselling,0,0
2021,Human health and social work activities,Master,Public Health,0,0
2021,Public administration and defence; compulsory social security,Master,Private Law,5,11
2021,Public administration and defence; compulsory social security,Master,Public Law,13,9
2021,Human health and social work activities,Master,Pharmacy,0,0
2021,Education,Master,Fiqh and Usul Al Fiqh,4,2
2021,Education,Master,Quranic Sciences and Exegesis,1,3
2021,Public administration and defence; compulsory social security,Master,Religions & Dialog of Civiliz.,2,3
2021,Natural sciences,Doctorate,Biological & Environmental Sci,0,2
2021,Public administration and defence; compulsory social security,Doctorate,Gulf Studies,0,0
2021,Business Administration,Doctorate,Business Administration,2,1
2021,Engineering,Doctorate,Civil Engineering,0,0
2021,Engineering,Doctorate,Electrical Engineering,0,0
2021,Engineering,Doctorate,Environmental Engineering,0,0
2021,Engineering,Doctorate,Mechanical Engineering,1,0
2021,Human health and social work activities,Doctorate,Pharmaceutical Sciences,0,0
2022,Education,Pre-University Diploma,Community College ,196,453
2022,Public administration and defence; compulsory social security,Pre-University Diploma,Ras Laffan Emergency & Safety College ,15,0
2022,Transportation and storage,Pre-University Diploma,Qatar Aeronautical Academy,47,6
2022,Education,Pre-University Diploma,University of Doha for Science and Technology,187,83
2022,Education,Bachelors,B.A in Education,26,456
2022,"Arts, entertainment and recreation",Bachelors,B.A in Art & science,150,999
2022,Education,Bachelors,B.A in Sharia & Islamic Studies,15,74
2022,Engineering,Bachelors,B.Sc. in Engineering,159,191
2022,Financial and insurance activities,Bachelors,B.Sc. in Administration & Economics,197,705
2022,Public administration and defence; compulsory social security,Bachelors,B.Sc. in Law,74,273
2022,Human health and social work activities,Bachelors,B.Sc in Health Sciences,0,74
2022,Human health and social work activities,Bachelors,B.Sc. in Pharmacy,0,36
2022,Human health and social work activities,Bachelors,B.Sc.in Medicine,14,45
2022,Public administration and defence; compulsory social security,Bachelors,B.Sc. From Ras Laffan Emergency and Safety College,16,0
2022,Financial and insurance activities,Bachelors,Bachelor of Applied Business Administration in Applied Accounting,8,8
2022,Financial and insurance activities,Bachelors,Bachelor of Applied Business Administration in Banking and Financial Technology,0,3
2022,Financial and insurance activities,Bachelors,Bachelor of Applied Business Administration in Digital Marketing,12,15
2022,Financial and insurance activities,Bachelors,Bachelor of Applied Business Administration in Human Resources Management,16,26
2022,Information and communication,Bachelors,Bachelor of Applied Science in Information Technology,6,4
2022,Engineering,Bachelors,Bachelor of Science in Applied Chemical and Processing Engineering,10,1
2022,Engineering,Bachelors,Bachelor of Science in Applied Maintenance Engineering Technology,36,2
2022,Engineering,Bachelors,Bachelor of Science in Applied Telecommunications and Network Engineering,4,1
2022,Human health and social work activities,Bachelors,Bachelor of Applied Science in Dental Hygiene,1,9
2022,Human health and social work activities,Bachelors,Bachelor of Applied Science in Environmental Health,1,10
2022,Human health and social work activities,Bachelors,Bachelor of Applied Science in Medical Radiography,1,9
2022,Human health and social work activities,Bachelors,Bachelor of Applied Science in Respiratory Therapy,0,9
2022,Public administration and defence; compulsory social security,Bachelors,BA in Public Administration ,49,99
2022,Information and communication,Bachelors,BS in Cyber & Network Security ,17,19
2022,Engineering,Bachelors,BS in Electrical Engineering Technology,7,4
2022,Transportation and storage,Bachelors,Bachelor of Logistics and Supply Chain Management,33,53
2022,Engineering,Bachelors,BS in Mechanical Engineering Technology,6,5
2022,Education,Diploma,Primary Education,2,8
2022,Education,Diploma,Secondary Education,7,4
2022,Education,Diploma,Special Education,16,8
2022,Natural sciences,Master,Applied Statistics,2,8
2022,Education,Master,Arabic Language & Literature,2,9
2022,Public administration and defence; compulsory social security,Master,Defense studies,8,0
2022,Natural sciences,Master,Environmental Sciences,1,9
2022,Public administration and defence; compulsory social security,Master,Gulf Studies,3,3
2022,Natural sciences,Master,Materials Science and Technology,3,5
2022,Financial and insurance activities,Master,Accounting,0,7
2022,Financial and insurance activities,Master,Business Administration,6,5
2022,Financial and insurance activities,Master,Finance,3,0
2022,Financial and insurance activities,Master,Marketing,3,8
2022,Education,Master,"Curriculum, Instruction and Assessment",0,11
2022,Education,Master,Education Leadership,1,11
2022,Education,Master,Special Education,0,12
2022,Information and communication,Master,Computing,8,2
2022,Engineering,Master,Electrical Engineering,4,2
2022,Engineering,Master,Engineering Management,12,9
2022,Engineering,Master,Environmental Engineering,0,4
2022,Engineering,Master,Mechanical Engineering,6,0
2022,Architecture and urban planning,Master,Urban Planning and Design,1,3
2022,Human health and social work activities,Master,Biomedical Sciences,0,4
2022,Human health and social work activities,Master,Genetic Counselling,0,3
2022,Human health and social work activities,Master,Public Health,1,10
2022,Public administration and defence; compulsory social security,Master,Private Law,6,8
2022,Public administration and defence; compulsory social security,Master,Public Law,10,9
2022,Human health and social work activities,Master,Pharmacy,0,17
2022,Education,Master,Fiqh and Usul Al Fiqh,3,3
2022,Education,Master,Quranic Sciences and Exegesis,2,6
2022,Public administration and defence; compulsory social security,Master,Religions and Dialogue of Civilizations,3,5
2022,Human health and social work activities,Master,Master of Science in Diabetes Care and Patient Education,0,2
2022,Natural sciences,Doctorate,Biological and Environmental Sciences,2,2
2022,Public administration and defence; compulsory social security,Doctorate,Gulf Studies,0,1
2022,Engineering,Doctorate,Chemical Engineering,0,1
2022,Engineering,Doctorate,Civil Engineering,1,0
2022,Information and communication,Doctorate,Computer Science,0,6
2022,Engineering,Doctorate,Electrical Engineering,0,1
2022,Engineering,Doctorate,Engineering Management,4,1
2022,Engineering,Doctorate,Industrial and Systems Eng.,1,0
2022,Natural sciences,Doctorate,Materials Sci and Engin,1,0
2022,Engineering,Doctorate,Mechanical Engineering,2,0
2022,Human health and social work activities,Doctorate,Medical Sciences,0,1
2022,Education,Doctorate,Fiqh and Usul Al Fiqh,1,0
2023,Education,Pre-University Diploma,Community College ,196,393
2023,Public administration and defence; compulsory social security,Pre-University Diploma,Ras Laffan Emergency & Safety College ,11,0
2023,Transportation and storage,Pre-University Diploma,Qatar Aeronautical Academy,64,8
2023,Education,Pre-University Diploma,University of Doha for Science and Technology,147,55
2023,Education,Bachelors,B.A in Education,33,467
2023,"Arts, entertainment and recreation",Bachelors,B.A in Art & science,130,1012
2023,Education,Bachelors,B.A in Sharia & Islamic Studies,11,85
2023,Engineering,Bachelors,B.Sc. in Engineering,197,251
2023,Financial and insurance activities,Bachelors,B.Sc. in Administration & Economics,183,672
2023,Public administration and defence; compulsory social security,Bachelors,B.Sc. in Law,77,295
2023,Human health and social work activities,Bachelors,B.Sc in Health Sciences,0,55
2023,Human health and social work activities,Bachelors,B.Sc. in Pharmacy,0,31
2023,Human health and social work activities,Bachelors,B.Sc.in Medicine,13,40
2023,Public administration and defence; compulsory social security,Bachelors,B.Sc. From Ras Laffan Emergency and Safety College,37,11
2023,Engineering,Bachelors,Bachelor of Applied Science in Maintenance Engineering Technology,1,0
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Applied Accounting,25,37
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Banking and Financial Technology,6,9
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Digital Marketing,27,31
2023,Financial and insurance activities,Bachelors,Bachelor of Business Administration in Human Resource Management,14,39
2023,Engineering,Bachelors,Bachelor of Science in Chemical Engineering - Processing Engineering,39,34
2023,Human health and social work activities,Bachelors,Bachelor of Science in Dental Hygiene,1,17
2023,Engineering,Bachelors,Bachelor of Science in Electrical Engineering - Telecommunications and Network Engineering,29,20
2023,Human health and social work activities,Bachelors,Bachelor of Science in Environmental Health,2,16
2023,Information and communication,Bachelors,Bachelor of Science in Information Systems,8,14
2023,Information and communication,Bachelors,Bachelor of Science in Information Technology,18,10
2023,Engineering,Bachelors,Bachelor of Science in Mechanical Engineering - Maintenance Engineering,40,3
2023,Human health and social work activities,Bachelors,Bachelor of Science in Medical Radiography,4,43
2023,Human health and social work activities,Bachelors,"Bachelor of Science in Occupational Health, Safety, and Environment",5,4
2023,Human health and social work activities,Bachelors,Bachelor of Science in Paramedicine,6,5
2023,Human health and social work activities,Bachelors,Bachelor of Science in Pharmacy Technology,5,23
2023,Human health and social work activities,Bachelors,Bachelor of Science in Respiratory Therapy,5,30
2023,Public administration and defence; compulsory social security,Bachelors,Bachelor of Arts in Public Administration,29,60
2023,Information and communication,Bachelors,Bachelor of Science in Information Technology - Cyber and Network Security Concentration,19,15
2023,Engineering,Bachelors,Bachelor of Science in Electrical Engineering Technology,0,8
2023,Transportation and storage,Bachelors,Bachelor of Science in Logistics and Supply Chain Management,41,27
2023,Engineering,Bachelors,Bachelor of Science in Mechanical Engineering Technology,12,3
2023,Financial and insurance activities,Bachelors,Bachelor of Human Resources Management ,4,23
2023,Business Administration,Bachelors,Bachelor of Project Management,10,19
2023,Education,Diploma,Diploma in Primary Education,0,1
2023,Education,Diploma,Early Childhood Education,0,6
2023,Education,Diploma,Primary Education,3,7
2023,Education,Diploma,Secondary Education,6,1
2023,Education,Diploma,Special Education,8,5
2023,Natural sciences,Master,Applied Statistics,1,4
2023,Education,Master,Arabic Language & Literature,0,5
2023,Natural sciences,Master,Environmental Sciences,0,7
2023,Public administration and defence; compulsory social security,Master,Gulf Studies,4,3
2023,Natural sciences,Master,Material Sci and Technology,1,5
2023,Financial and insurance activities,Master,Accounting,4,6
2023,Business Administration,Master,Business Administration,9,8
2023,Financial and insurance activities,Master,Finance,1,5
2023,Financial and insurance activities,Master,Marketing,0,9
2023,Education,Master,"Curriculum,Instruc. & Assessm.",0,8
2023,Education,Master,Educational Leadership,0,6
2023,Education,Master,Special Education,0,7
2023,Engineering,Master,Civil Engineering,10,0
2023,Information and communication,Master,Computing,3,7
2023,Engineering,Master,Electrical Engineering,3,2
2023,Engineering,Master,Engineering Management,6,11
2023,Engineering,Master,Environmental Engineering,3,13
2023,Engineering,Master,Gas and Process Engineering,0,1
2023,Engineering,Master,Mechanical Engineering,11,1
2023,Architecture and urban planning,Master,Urban Planning,1,5
2023,Human health and social work activities,Master,Biomedical Sciences,0,8
2023,Human health and social work activities,Master,Genetic Counselling,0,2
2023,Human health and social work activities,Master,Human Nutrition,0,4
2023,Public administration and defence; compulsory social security,Master,Public Health,1,4
2023,Public administration and defence; compulsory social security,Master,Private Law,5,12
2023,Human health and social work activities,Master,Public Law,5,14
2023,Education,Master,Pharmacy,0,22
2023,Education,Master,Fiqh and Usul,8,2
2023,Public administration and defence; compulsory social security,Master,Quranic Sciences and Exegesis,2,9
2023,Human health and social work activities,Master,Religions and Creed,2,7
2023,Business Administration,Master,Master of Science in Diabetes Care and Patient Education,0,4
2023,Business Administration,Master,Master of Science in Human Resource Management,0,8
2023,Natural sciences,Doctorate,Biological and Environmental Sciences,0,1
2023,Public administration and defence; compulsory social security,Doctorate,Gulf Studies,1,2
2023,Business Administration,Doctorate,Business Administration,0,3
2023,Architecture,Doctorate,Architecture,0,1
2023,Engineering,Doctorate,Chemical Engineering,1,1
2023,Engineering,Doctorate,Civil Engineering,3,0
2023,Information and communication,Doctorate,Computer Engineering,0,1
2023,Engineering,Doctorate,Computer Science,0,2
2023,Engineering,Doctorate,Electrical Engineering,1,1
2023,Engineering,Doctorate,Engineering Management,2,1
2023,Engineering,Doctorate,Environmental Engineering,0,1
2023,Architecture and urban planning,Doctorate,Urban Planning,1,0
2023,Public administration and defence; compulsory social security,Doctorate,Law,2,0
2023,Human health and social work activities,Doctorate,Medical Sciences,1,1
2023,Human health and social work activities,Doctorate,Pharmaceutical Sciences,0,1
2023,Education,Doctorate,Fiqh and Usul,4,1
